time,model_name,threshold,nms,poly,topk,mIoU,mAcc,aAcc
2024-11-29 14:21:13,omlab-omdet-turbo-swin-tiny-hf,0.4,0.6,True,None,11.200141581035588,12.822286624319087,13.33942464103178
2024-11-29 14:21:38,google-owlvit-large-patch14,0.0,0.3,True,6,18.61926699774054,20.683969891632582,13.929387582574421
2024-11-29 14:21:58,omlab-omdet-turbo-swin-tiny-hf,0.4,0.2,True,None,11.022040878444558,12.601828483630232,13.299993386781262
2024-11-29 14:22:25,google-owlv2-large-patch14-ensemble,0.0,0.3,True,20,35.82555589589661,41.637876906083456,13.691855630750608
2024-11-29 14:22:46,google-owlv2-base-patch16-ensemble,0.0,0.3,True,3,20.43947657590664,22.28639727463679,13.57318350356592
2024-11-29 14:23:10,google-owlv2-large-patch14-ensemble,0.0,0.3,True,6,28.021401836276226,31.459936569705167,14.232028735374788
2024-11-29 14:23:37,google-owlv2-large-patch14-ensemble,0.0,0.3,True,10,32.551548930787916,36.95728255862667,14.320040171724235
2024-11-29 14:24:10,google-owlv2-base-patch16-ensemble,0.0,0.3,True,25,35.70805992874194,40.17723131345999,13.834859628133062
2024-11-29 14:24:43,google-owlv2-large-patch14-ensemble,0.0,0.3,True,9,31.75640293600012,35.88357833197786,14.314011449444756
2024-11-29 14:25:07,google-owlv2-large-patch14-ensemble,0.0,0.3,True,13,34.29489348704503,39.11469838770956,14.254080393154192
2024-11-29 14:25:31,google-owlv2-large-patch14-ensemble,0.0,0.3,True,7,29.976937246618878,33.59535867293291,14.298993006979108
2024-11-29 14:25:51,omlab-omdet-turbo-swin-tiny-hf,0.4,0.5,True,None,11.197213012129273,12.813891511747592,13.33678105880775
2024-11-29 14:26:19,google-owlv2-base-patch16-ensemble,0.0,0.3,True,16,34.715318322654106,38.53281455506701,14.465343198312466
2024-11-29 14:26:52,google-owlv2-base-patch16-ensemble,0.0,0.3,True,13,33.72002794790105,37.189785349655246,14.536211453483897
2024-11-29 14:27:19,google-owlv2-base-patch16-ensemble,0.0,0.3,True,5,26.141466308831777,28.490921315042318,14.16837515991072
2024-11-29 14:27:50,google-owlv2-large-patch14-ensemble,0.4,0.3,False,None,34.08507777498698,38.01895600391656,14.876549599562447
2024-11-29 14:28:22,google-owlv2-large-patch14-ensemble,0.1,0.3,True,None,35.987611293493096,42.920387381368485,11.387575218233351
2024-11-29 14:28:48,google-owlv2-base-patch16-ensemble,0.0,0.3,True,10,32.209835712671826,35.40629774586615,14.525663762102461
2024-11-29 14:29:28,google-owlv2-large-patch14-ensemble,0.0,0.3,True,18,35.64628144649786,41.001206685729905,13.87406390488542
2024-11-29 14:29:59,google-owlv2-large-patch14-ensemble,0.0,0.3,True,15,34.85702321242065,39.971047524816974,14.089953258247432
2024-11-29 14:30:20,omlab-omdet-turbo-swin-tiny-hf,0.4,0.1,True,None,10.787438644226029,12.34703853522469,13.207586936916934
2024-11-29 14:30:41,google-owlv2-base-patch16-ensemble,0.0,0.3,True,6,27.78779453025916,30.332220719288195,14.281789553278912
2024-11-29 14:31:13,google-owlv2-large-patch14-ensemble,0.0,0.3,True,12,33.86460803296328,38.53831055129631,14.265039995772574
2024-11-29 14:31:45,google-owlv2-base-patch16-ensemble,0.0,0.3,True,7,29.213217825631443,31.951360876636098,14.394111132316912
2024-11-29 14:32:18,google-owlv2-base-patch16-ensemble,0.0,0.3,True,11,32.8313484903239,36.139884050501095,14.548408847899235
2024-11-29 14:32:47,google-owlv2-large-patch14-ensemble,0.5,0.3,False,None,28.297322565891665,31.033051454634087,14.479957285657363
2024-11-29 14:33:12,google-owlv2-base-patch16-ensemble,0.4,0.3,True,None,34.28811784756304,37.22488233923987,15.059712031825208
2024-11-29 14:33:43,google-owlv2-large-patch14-ensemble,0.4,0.3,True,None,34.111779428841075,37.970495271990416,14.937039014618236
2024-11-29 14:34:01,google-owlv2-large-patch14-ensemble,0.7,0.3,False,None,8.530718384620863,9.499855321001816,11.895668170023116
2024-11-29 14:34:35,google-owlv2-large-patch14-ensemble,0.2,0.3,False,None,37.484519366351535,43.53321645905245,13.315277234153111
2024-11-29 14:35:03,google-owlv2-large-patch14-ensemble,0.3,0.3,False,None,37.01301247052856,42.33170494764687,14.501854910391062
2024-11-29 14:35:38,google-owlv2-base-patch16-ensemble,0.0,0.3,True,19,34.96540800384976,38.972886716612244,14.282110114893218
2024-11-29 14:36:14,google-owlv2-base-patch16-ensemble,0.0,0.3,True,50,34.59055228136353,40.513460370482655,12.133118827445063
2024-11-29 14:36:37,google-owlvit-base-patch32,0.0,0.3,True,6,13.040665593073369,15.062734136012809,11.54728049630194
2024-11-29 14:36:53,google-owlvit-base-patch32,0.4,0.3,True,None,1.9304870478042788,2.540634246027847,11.251797220031937
2024-11-29 14:37:26,google-owlv2-large-patch14-ensemble,0.0,0.3,True,40,35.516026513566764,42.32291283496158,12.212493534779705
2024-11-29 14:37:48,google-owlv2-base-patch16-ensemble,0.0,0.3,True,4,22.991606271448692,25.079684342484228,13.932587171465249
2024-11-29 14:38:29,google-owlv2-large-patch14-ensemble,0.0,0.3,True,16,34.97897497017243,40.231238859034285,14.028713876608345
2024-11-29 14:38:52,google-owlv2-large-patch14-ensemble,0.6,0.3,True,None,18.621292151800304,20.120164006687496,13.190181261554518
2024-11-29 14:39:19,google-owlv2-base-patch16-ensemble,0.0,0.3,True,15,34.29729287857144,37.92956930267542,14.503063330358918
2024-11-29 14:39:49,google-owlv2-large-patch14-ensemble,0.0,0.3,True,8,30.975037932473587,34.821648021529676,14.336201440012871
2024-11-29 14:40:25,google-owlv2-base-patch16-ensemble,0.0,0.3,True,18,34.86122205893723,38.76342768333921,14.307503634117024
2024-11-29 14:41:02,google-owlv2-large-patch14-ensemble,0.0,0.3,True,30,35.32986424001695,41.8490696349884,12.816791869404934
2024-11-29 14:41:37,google-owlv2-base-patch16-ensemble,0.0,0.3,True,14,34.101139837074854,37.663543090363675,14.542107046992436
2024-11-29 14:42:00,google-owlvit-large-patch14,0.4,0.3,True,None,9.423188675566427,10.720134659165534,12.965862604857687
2024-11-29 14:42:32,google-owlv2-large-patch14-ensemble,0.0,0.3,True,14,34.52596186561039,39.531007814427724,14.158521249361417
2024-11-29 14:43:07,google-owlv2-base-patch16-ensemble,0.0,0.3,True,12,33.27338137076542,36.64351820051221,14.52298625085863
2024-11-29 14:43:28,google-owlv2-large-patch14-ensemble,0.6,0.3,False,None,18.609149761200154,20.146149804983835,13.181476409889031
2024-11-29 14:43:53,omlab-omdet-turbo-swin-tiny-hf,0.0,0.3,True,6,12.11598401903803,13.89805505739157,13.400564470104962
2024-11-29 14:44:10,google-owlv2-large-patch14-ensemble,0.7,0.3,True,None,8.530872867186675,9.491963203337447,11.897200444543074
2024-11-29 14:44:41,google-owlvit-base-patch32,0.0,0.3,True,20,11.660378911481514,14.246327648867307,8.46792532020461
2024-11-29 14:45:11,google-owlv2-base-patch16-ensemble,0.0,0.3,True,9,31.40181104402681,34.4353809794639,14.500836157760075
2024-11-29 14:45:52,google-owlv2-large-patch14-ensemble,0.0,0.3,True,25,35.702868996508556,41.79665241111403,13.1798994749002
2024-11-29 14:46:23,google-owlv2-large-patch14-ensemble,0.0,0.3,True,17,35.3513177359526,40.69325401282458,13.950938684407433
2024-11-29 14:46:53,google-owlv2-large-patch14-ensemble,0.0,0.3,True,11,33.23581069664587,37.73934426409333,14.306754343762027
2024-11-29 14:47:13,omlab-omdet-turbo-swin-tiny-hf,0.4,0.3,True,None,11.120958362351688,12.70902336603543,13.31915884338394
2024-11-29 14:47:45,google-owlvit-large-patch14,0.0,0.3,True,20,21.617196600563368,24.540454279742534,12.229990647968453
2024-11-29 14:48:20,google-owlv2-large-patch14-ensemble,0.2,0.3,True,None,37.591605944644165,43.53668874347159,13.621533679839965
2024-11-29 14:48:48,google-owlv2-base-patch16-ensemble,0.0,0.3,True,30,35.80251528600007,40.557301408937036,13.487171527286396
2024-11-29 14:49:09,omlab-omdet-turbo-swin-tiny-hf,0.4,0.7,True,None,11.211672454870952,12.836547468403776,13.337307958256522
2024-11-29 14:49:45,google-owlv2-base-patch16-ensemble,0.0,0.3,True,17,34.73865219340787,38.58146197632331,14.384477554587713
2024-11-29 14:50:11,google-owlv2-large-patch14-ensemble,0.5,0.3,True,None,28.310346602940616,30.986719594118306,14.499393027770482
2024-11-29 14:50:47,google-owlv2-large-patch14-ensemble,0.1,0.3,False,None,35.80998432907221,42.920680056797465,10.857708303284664
2024-11-29 14:51:23,google-owlv2-base-patch16-ensemble,0.0,0.3,True,40,35.424054144503536,40.73922119928844,12.7133313801704
2024-11-29 14:51:45,google-owlv2-large-patch14-ensemble,0.3,0.3,True,None,37.091028630461494,42.28577693440145,14.678447990551009
2024-11-29 14:52:16,google-owlv2-large-patch14-ensemble,0.0,0.3,True,50,35.20943020747864,42.35952081324597,11.523860505262908
2024-11-29 14:52:35,omlab-omdet-turbo-swin-tiny-hf,0.4,0.4,True,None,11.199682536894134,12.78990744674873,13.333703485022797
2024-11-29 14:53:02,google-owlv2-base-patch16-ensemble,0.0,0.3,True,8,30.48589281706493,33.42546008468407,14.470465833475588
2024-11-29 14:53:34,google-owlv2-large-patch14-ensemble,0.0,0.3,True,19,35.506899637992476,41.28701226912518,13.788482891840099
2024-11-29 14:54:03,google-owlv2-base-patch16-ensemble,0.0,0.3,True,20,35.114055788358314,39.208509657936915,14.191157291257712
2024-11-29 14:54:31,omlab-omdet-turbo-swin-tiny-hf,0.0,0.3,True,20,14.457379218576222,16.548160658162512,13.2857824785079
